id,title,author,publisher,pubplace,keywords,date
A91890,"A briefe catechisme concerning church-governemnt. By that Reverend Divine Mr. Iohn Robinson, and may fitly be adjoyned to Mr. Perkins six Principles as an appendix thereto.","Robinson, John, 1575?-1625.; Robinson, John, 1575?-1625.; Perkins, William, 1558-1602. Foundation of Christian religion.",s n,London,"Catechisms, English --  Early works to 1800. -- Church polity --  Early works to 1800.",1642
B15264,"A treatise of Gods free grace, and mans free will","Perkins, William, 1558-1602.; Perkins, William, 1558-1602.",Printed by Iohn Legat printer to the Vniuersitie of Cambridge,Cambridge,Grace (Theology) --  Early works to 1800.,1601
B04689,"The foundation of Christian religion, gathered into six principles. And it is to be learned of ignorant people, that they may be fit to heare sermons with profit, and to receive the Lords Supper with comfort.","Perkins, William, 1558-1602.; Perkins, William, 1558-1602.; Shelton, Thomas, 1601-1650?",Printed by John Field and are to be sold by John Williams,London,"Catechisms, English --  17th century. -- Theology, Doctrinal --  Early works to 1800.",1660
A89554,"Fifteen considerations, stirring us up to the watchfulnesse of these dangerous times. With, fourteen directions to every godly Christian, who is desirous to go out to fight the Lords battles against Antichrist. Also, thirteen principles of religion; by Mr. Perkins: by way of question and answer. Shewing, what necessitie there is for all that are for reformation, and are desirous to venture life, fortune and estate, for religion, King, Parliament, laws, liberties; against those who (if they prevail) will blot out religion, and utterly destroy us all. Published by Richard Marsal minister of Gods word. Published by authority, and printed with order.","Marsal, Richard.; Marsal, Richard.; Perkins, William, 1558-1602. Thirteen principles of religion.",Printed by Bernard Alsop,London,Christian life --  Early works to 1800.,1645
A89555,"XXIX. directions and considerations, stirring us up to watchfulnesse, where every Christian may get armour in these dangerous times, to fight against Antichrist, and his adherents. With Thirteen principles of religion, by M. Perkins: by way of question and answer. Shewing, what necessitie there is for all that are for reformation, and are desirous to venture life fortune and estate, for religion, King, Parliament, laws and liberties; against those who (if they prevail) will blot out religion, and utterly destroy us all. Published by Richard Marsal minister of Gods word. Set forth by authority, and printed with order.","Marsal, Richard.; Marsal, Richard.; Perkins, William, 1558-1602. Thirteen principles of religion.",Printed by Bernard Alsop,London,Christian life --  Early works to 1800.,1646
A90503,"Cyfarwydd-deb pr Anghyfarwydd, sef, llyer yn cynnwys, 1. Agoriad byrr ar Weddi 'r Arglwydd. 2. Ymddidanion rhwng y Carwr a'r Cymro. 3. Ymddidanion rhwng Crist a'r Publican, rhwng Crist a'r Pharisaed, a rhwng Crist a'r Credadyn ammheus, sef Canwyll Crist. 4. Amryw Reolau Duwiol: : y cwbli gyfarwyddo pol 1, pa fodd i chwilio 'r ferythyrrau er lefadiw Heneidiau: a pha fodd i ddyfod at Grist i gael iechydwriaeth dragwyddol : a pha fodd i weddio yn fol ewyllys Duw, i gael gras a thrugaredd oddiwrtho ef, a pha fodd i fyw'n santaidd yn y Byd presennol.","Perkins, William, 1558-1602.; Perkins, William, 1558-1602.; Powell, Vavasor, 1617-1670.",gan Thomas Dawks printiwr yng hymraeg i ardderchoccat Fawrhydiy Brenin,Ai bri o yn LLundain,"Theology, Doctrinal --  Early works to 1800.",1677
A90506,"The foundation of Christian religion gathered into six principles, by Mr. William Perkins. Translated into Welsh. Whereto also is added the Welsh alphabet, for the instruction of the unlearned in that language. By E.R. Sail crefydd gristnogawl wedi ei rhannu yn chewch o rannau new Wyddorion, o waith W.P. Wedi ei gyfiaethu. Ir iath gymráec at osod allan. Drwy ddymuniad E.R.","Perkins, William, 1558-1602.; Perkins, William, 1558-1602.; E. R.",Printed by Richard Constable for George Calvert and are to be sold at his shop at the sign of the Half Moon in Waltings street,London,"Christianity --  Essence, genius, nature --  Early works to 1800. -- Welsh language --  Pronunciation --  Early works to 1800.",1649
A76964,"A plaine & profitable catechisme whereunto is added a sermon preached upon Exod.23.2. / By that reverend and judicious divine Mr James Bacon, late minister of Burgate in Suffolke. Now first published by his son in law H.W.","Bacon, James, minister of Burgate, Suffolk.; Bacon, James, minister of Burgate, Suffolk.; Perkins, William, 1558-1602.",Printed by W Hall for R Davis,Oxford,"Bible. --  O.T. --  Exodus XXIII, 2 --  Sermons. -- Catechisms, English --  Early works to 1800. -- Sermons, English --  17th century.",1660
A09353,"A golden chaine, or the description of theologie containing the order of the causes of saluation and damnation, according to Gods woord. A view of the order wherof, is to be seene in the table annexed. Written in Latine by William Perkins, and translated by an other. Hereunto is adioyned the order which M. Theodore Beza vsed in comforting troubled consciences.","Perkins, William, 1558-1602.; Perkins, William, 1558-1602.; Hill, Robert, d. 1623.; Bèze, Théodore de, 1519-1605.",Printed by Edward Alde and are to be sold by Edward White at the little north doore of S Paules Church at the signe of the Gunne,At London,Salvation --  Early works to 1800.,1591
A73023,"M. Perkins, his Exhortation to repentance, out of Zephaniah preached in 2. sermons in Sturbridge Faire. Together with two treatises of the duties and dignitie of the ministrie: deliuered publiquely in the Vniuersitie of Cambridge. With a preface præfixed touching the publishing of all such workes of his as are to be expected: with a catalogue of all the perticulers [sic] of them, diligently perused and published, by a preacher of the word.","Perkins, William, 1558-1602.; Perkins, William, 1558-1602.; Crashaw, William, 1572-1626.",imprinted by T C reede for William Welby and are to bee sold at his shop in Pauls Church yard at the signe of the Grey hound,London,"Repentance --  Early works to 1800. -- Sermons, English --  17th century. -- Clergy --  Office --  Early works to 1800. -- Vocation, Ecclesiastical --  Early works to 1800.",1605
A54391,"The whole duty of man, containing a practical table of the Ten commandments wherein the sins forbidden, and the duties commanded, or implied are clearly discovered / by famous Mr. Will. Perkins.","Perkins, William, 1558-1602.; Perkins, William, 1558-1602.",Printed for William Miller,London,Ten commandments. -- Broadsides --  England --  London --  17th century,1674
A54381,"An abridgement of the whole body of divinity extracted from the learned works of that ever-famous and reverend divine, Mr. William Perkins / by Tho. Nicols.","Perkins, William, 1558-1602.; Perkins, William, 1558-1602.; Nicols, Thomas.",Printed by W B for Will Hope,London,"Theology, Doctrinal --  17th century.",1654
A54390,Nova et expedita via comparandæ linguæ Latinæ authore Guilielmo Perkinso ...,"Perkins, William, 1558-1602.; Perkins, William, 1558-1602.",Apud Thomam Harperum,Londini,Latin language --  Grammar --  Early works to 1800.,1644
A57456,An appendix to Mr. Perkins his six principles of Christian religion by Mr. Iohn Robinson.,"Robinson, John, 1575?-1625.; Robinson, John, 1575?-1625.; Perkins, William, 1558-1602. Foundation of Christian religion.",s n,London,"Catechisms, English.",1641
A09462,"Satans sophistrie ansuuered by our Sauiour Christ and in diuers sermons further manifested / by that worthy man Maister William Perkins ; to which is added, a comfort for the feeble minded, wherein is set downe the temptations of a Christian.","Perkins, William, 1558-1602.",Printed by Richard Field for E E and are to be sold at the signe of the Swanne in Paules Church yard,London,Sin --  Early works to 1800. -- Devil --  Early works to 1800.,1604
A09387,"Deaths knell: or, The sicke mans passing-bell summoning all sicke consciences to pr[e]pare themselues for the comming of the grea[t] day of doome, lest mercies gate be shut against them: fit for all those that desire to arriue at the heauenly Ierusalem. Whereunto are added prayers fit for housholders. The ninth edition. Written by W. Perkins.","Perkins, William, 1558-1602.",By G Purslowe for M Trundle and are to be sold at her shop in Smith field,Printed at London,Death --  Early works to 1800. -- Salvation --  Early works to 1800. -- Prayer --  Early works to 1800.,1628
A09411,"An exposition of the Symbole or Creed of the Apostles according to the tenour of the Scriptures, and the consent of orthodoxe Fathers of the Church. By William Perkins.","Perkins, William, 1558-1602.",Printed by Iohn Legatt printer to the Vniuersitie of Cambridge 1595 And are to be solde by R Bankworth at the signe of the Sunne in Pauls Church yard in London,Cambridge,Apostles' Creed --  Early works to 1800.,1595
A09472,The true gaine more in worth then all the goods in the world.,"Perkins, William, 1558-1602.",Printed by Iohn Legat printer to the Vniuersitie of Cambridge,Cambridge,Jesus Christ --  Devotional literature --  Early works to 1800. -- Christian life --  Early works to 1800.,1601
A09403,"Hepieíkeia: or, a treatise of Christian equitie and moderation. Deliuered publikely in lectures by M. W. Perkins, and now published by the consent of his assignes in Cambridge by a preacher of the word","Perkins, William, 1558-1602.; Crashaw, William, 1572-1626.",Printed by Iohn Legat printer to the Vniversitie of Cambridge 1604 And are to be sold in Pauls Church yard at the signe of the Crowne by Simon Waterson,Cambridge,Christian ethics --  Early works to 1800.,1604
A09364,"The first part of The cases of conscience Wherein specially, three maine questions concerning man, simply considered in himselfe, are propounded and resolued, according to the word of God. Taught and deliuered, by M. William Perkins in his Holy-day lectures, by himselfe revised before his death, and now published for the benefit of the Church.","Perkins, William, 1558-1602.; Pickering, Thomas, d. 1625.",Printed by Iohn Legat printer to the Vniversitie of Cambridge 1604 And are to be sold in Pauls Church yard at the signe of the Crowne by Simon Waterson,Cambridge,Conscience --  Early works to 1800. -- Sin --  Early works to 1800.,1604
A09376,"A cloud of faithfull witnesses, leading to the heauenly Canaan, or, A commentarie vpon the 11 chapter to the Hebrewes preached in Cambridge by that godly, and iudicious divine, M. William Perkins ; long expected and desired, and therefore published at the request of his executours, by Will. Crashawe and Tho. Pierson, preachers of Gods Word, who heard him preach it, and wrote it from his mouth.","Perkins, William, 1558-1602.",Printed by Humfrey Lownes for Leo Greene,At London,Bible. --  N.T. --  Hebrews XI --  Commentaries.,1607
A09439,"How to liue, and that well in all estates and times, specially when helps and comforts faile.","Perkins, William, 1558-1602.",Printed by Iohn Legat printer to the Vniuersitie of Cambridge and are to be sold at the Crowne in Pauls Churchyard by Simon Waterson,Cambridge England,Christian life --  Early works to 1800.,1601
A09431,"Foure great lyers, striuing who shall win the siluer whetstone Also, a resolution to the countri-man, prouing is vtterly vnlawfull to buye or vse our yeerly prognostications. Written by W.P.","Perkins, William, 1558-1602.",Printed by Robert Walde graue,At London,"Buckminster, Thomas, ca. 1531-1599? --  Controversial literature --  Early works to 1800. -- Frende, Gabriel, fl. 1584-1599 --  Controversial literature --  Early works to 1800. -- Twyne, Thomas, 1543-1613 --  Controversial literature --  Early works to 1800. -- Dade, John, fl. 1589-1614 --  Controversial literature --  Early works to 1800. -- Astrology --  Early works to 1800.",1585
A09452,"Prophetica, sive, De sacra et vnica ratione concionandi tractatus","Perkins, William, 1558-1602.",Ex officina Johannis Legatt celeberrimæ Academiæ Cantabrigiensis typographi,Cambridge England,Preaching --  Early works to 1800.,1592
A09339,"A golden chaine: or The description of theologie containing the order of the causes of saluation and damnation, according to Gods word. A view whereof is to be seene in the table annexed. Hereunto is adioyned the order which M. Theodore Beza vsed in comforting afflicted consciences.","Perkins, William, 1558-1602.; Bèze, Théodore de, 1519-1605.",Printed by Iohn Legat printer to the Vniuersitie of Cambridge,Cambridge,"Theology, Doctrinal --  Early works to 1800. -- Salvation --  Early works to 1800. -- Predestination --  Early works to 1800.",1600
