Source,Target,Weight,Type
Beaumont_and_Fletcher_Philaster,Beaumont_TheKnightoftheBurningPestle,6,undirected
Beaumont_and_Fletcher_Philaster,Cavendish_TheBlazingWorld,5,undirected
Beaumont_and_Fletcher_Philaster,Chapman_Illiad,4,undirected
Beaumont_and_Fletcher_Philaster,Chapman_Jonson_Marston_Eastward Ho,3,undirected
Beaumont_and_Fletcher_Philaster,Chapman_Odyssey,3,undirected
Beaumont_and_Fletcher_Philaster,Dekker_OldFortunatus,3,undirected
Beaumont_and_Fletcher_Philaster,Dekker_TheHonestWhorePart1,3,undirected
Beaumont_and_Fletcher_Philaster,Dekker_TheHonestWhorePart2,3,undirected
Beaumont_and_Fletcher_Philaster,Dekker_TheShoemakersHoliday,3,undirected
Beaumont_and_Fletcher_Philaster,Dekker_TheWitchofEdmonton,3,undirected
Beaumont_and_Fletcher_Philaster,Greene_ALookingGlass,3,undirected
Beaumont_and_Fletcher_Philaster,Greene_AlphonsusKingofArragon,3,undirected
Beaumont_and_Fletcher_Philaster,Greene_FriarBaconandFriarBungay,3,undirected
Beaumont_and_Fletcher_Philaster,Greene_GeorgeAGreene,3,undirected
Beaumont_and_Fletcher_Philaster,Greene_JamestheFourth,3,undirected
Beaumont_and_Fletcher_Philaster,Greene_OrlandoFurioso,3,undirected
Beaumont_and_Fletcher_Philaster,Heywood_AWomanKilledWithKindness,3,undirected
Beaumont_and_Fletcher_Philaster,Heywood_TheEnglishTraveller,3,undirected
Beaumont_and_Fletcher_Philaster,Heywood_TheFairMaidoftheWest,3,undirected
Beaumont_and_Fletcher_Philaster,Jonson_BartholomewFair,3,undirected
Beaumont_and_Fletcher_Philaster,Marston_AntonioandMellida,3,undirected
Beaumont_and_Fletcher_Philaster,Marston_AntoniosRevenge,3,undirected
Beaumont_and_Fletcher_Philaster,Marston_The Malcontent,3,undirected
Beaumont_and_Fletcher_Philaster,Marston_TheDutchCourtezan,3,undirected
Beaumont_and_Fletcher_Philaster,Marston_TheWonderofWomen,3,undirected
Beaumont_and_Fletcher_Philaster,Shirley_TheLadyofPleasvre,3,undirected
Beaumont_and_Fletcher_Philaster,Webster_TheWhiteDevil,3,undirected
Beaumont_and_Fletcher_TheMaidsTragedy,Jonson_Epicoene,1,undirected
Beaumont_and_Fletcher_TheMaidsTragedy,Jonson_Volpone,3,undirected
Beaumont_and_Fletcher_TheMaidsTragedy,Webster_TheDuchessofMalfi,5,undirected
Beaumont_TheKnightoftheBurningPestle,Beaumont_and_Fletcher_Philaster,6,undirected
Beaumont_TheKnightoftheBurningPestle,Cavendish_TheBlazingWorld,4,undirected
Beaumont_TheKnightoftheBurningPestle,Chapman_Illiad,3,undirected
Beaumont_TheKnightoftheBurningPestle,Chapman_Jonson_Marston_Eastward Ho,2,undirected
Beaumont_TheKnightoftheBurningPestle,Chapman_Odyssey,2,undirected
Beaumont_TheKnightoftheBurningPestle,Dekker_OldFortunatus,2,undirected
Beaumont_TheKnightoftheBurningPestle,Dekker_TheHonestWhorePart1,2,undirected
Beaumont_TheKnightoftheBurningPestle,Dekker_TheHonestWhorePart2,2,undirected
Beaumont_TheKnightoftheBurningPestle,Dekker_TheShoemakersHoliday,2,undirected
Beaumont_TheKnightoftheBurningPestle,Dekker_TheWitchofEdmonton,2,undirected
Beaumont_TheKnightoftheBurningPestle,Greene_ALookingGlass,2,undirected
Beaumont_TheKnightoftheBurningPestle,Greene_AlphonsusKingofArragon,2,undirected
Beaumont_TheKnightoftheBurningPestle,Greene_FriarBaconandFriarBungay,2,undirected
Beaumont_TheKnightoftheBurningPestle,Greene_GeorgeAGreene,2,undirected
Beaumont_TheKnightoftheBurningPestle,Greene_JamestheFourth,2,undirected
Beaumont_TheKnightoftheBurningPestle,Greene_OrlandoFurioso,2,undirected
Beaumont_TheKnightoftheBurningPestle,Heywood_AWomanKilledWithKindness,2,undirected
Beaumont_TheKnightoftheBurningPestle,Heywood_TheEnglishTraveller,2,undirected
Beaumont_TheKnightoftheBurningPestle,Heywood_TheFairMaidoftheWest,2,undirected
Beaumont_TheKnightoftheBurningPestle,Jonson_BartholomewFair,2,undirected
Beaumont_TheKnightoftheBurningPestle,Marston_AntonioandMellida,2,undirected
Beaumont_TheKnightoftheBurningPestle,Marston_AntoniosRevenge,2,undirected
Beaumont_TheKnightoftheBurningPestle,Marston_The Malcontent,2,undirected
Beaumont_TheKnightoftheBurningPestle,Marston_TheDutchCourtezan,2,undirected
Beaumont_TheKnightoftheBurningPestle,Marston_TheWonderofWomen,2,undirected
Beaumont_TheKnightoftheBurningPestle,Shirley_TheLadyofPleasvre,2,undirected
Beaumont_TheKnightoftheBurningPestle,Webster_TheWhiteDevil,2,undirected
Cavendish_TheBlazingWorld,Beaumont_and_Fletcher_Philaster,5,undirected
Cavendish_TheBlazingWorld,Beaumont_TheKnightoftheBurningPestle,4,undirected
Cavendish_TheBlazingWorld,Chapman_Illiad,2,undirected
Cavendish_TheBlazingWorld,Chapman_Jonson_Marston_Eastward Ho,1,undirected
Cavendish_TheBlazingWorld,Chapman_Odyssey,1,undirected
Cavendish_TheBlazingWorld,Dekker_OldFortunatus,1,undirected
Cavendish_TheBlazingWorld,Dekker_TheHonestWhorePart1,1,undirected
Cavendish_TheBlazingWorld,Dekker_TheHonestWhorePart2,1,undirected
Cavendish_TheBlazingWorld,Dekker_TheShoemakersHoliday,1,undirected
Cavendish_TheBlazingWorld,Dekker_TheWitchofEdmonton,1,undirected
Cavendish_TheBlazingWorld,Greene_ALookingGlass,1,undirected
Cavendish_TheBlazingWorld,Greene_AlphonsusKingofArragon,1,undirected
Cavendish_TheBlazingWorld,Greene_FriarBaconandFriarBungay,1,undirected
Cavendish_TheBlazingWorld,Greene_GeorgeAGreene,1,undirected
Cavendish_TheBlazingWorld,Greene_JamestheFourth,1,undirected
Cavendish_TheBlazingWorld,Greene_OrlandoFurioso,1,undirected
Cavendish_TheBlazingWorld,Heywood_AWomanKilledWithKindness,1,undirected
Cavendish_TheBlazingWorld,Heywood_TheEnglishTraveller,1,undirected
Cavendish_TheBlazingWorld,Heywood_TheFairMaidoftheWest,1,undirected
Cavendish_TheBlazingWorld,Jonson_BartholomewFair,1,undirected
Cavendish_TheBlazingWorld,Marston_AntonioandMellida,1,undirected
Cavendish_TheBlazingWorld,Marston_AntoniosRevenge,1,undirected
Cavendish_TheBlazingWorld,Marston_The Malcontent,1,undirected
Cavendish_TheBlazingWorld,Marston_TheDutchCourtezan,1,undirected
Cavendish_TheBlazingWorld,Marston_TheWonderofWomen,1,undirected
Cavendish_TheBlazingWorld,Shirley_TheLadyofPleasvre,1,undirected
Cavendish_TheBlazingWorld,Webster_TheWhiteDevil,1,undirected
Chapman_Illiad,Beaumont_and_Fletcher_Philaster,4,undirected
Chapman_Illiad,Beaumont_TheKnightoftheBurningPestle,3,undirected
Chapman_Illiad,Cavendish_TheBlazingWorld,2,undirected
Chapman_Jonson_Marston_Eastward Ho,Beaumont_and_Fletcher_Philaster,3,undirected
Chapman_Jonson_Marston_Eastward Ho,Beaumont_TheKnightoftheBurningPestle,2,undirected
Chapman_Jonson_Marston_Eastward Ho,Cavendish_TheBlazingWorld,1,undirected
Chapman_Odyssey,Beaumont_and_Fletcher_Philaster,3,undirected
Chapman_Odyssey,Beaumont_TheKnightoftheBurningPestle,2,undirected
Chapman_Odyssey,Cavendish_TheBlazingWorld,1,undirected
Dekker_OldFortunatus,Beaumont_and_Fletcher_Philaster,3,undirected
Dekker_OldFortunatus,Beaumont_TheKnightoftheBurningPestle,2,undirected
Dekker_OldFortunatus,Cavendish_TheBlazingWorld,1,undirected
Dekker_TheHonestWhorePart1,Beaumont_and_Fletcher_Philaster,3,undirected
Dekker_TheHonestWhorePart1,Beaumont_TheKnightoftheBurningPestle,2,undirected
Dekker_TheHonestWhorePart1,Cavendish_TheBlazingWorld,1,undirected
Dekker_TheHonestWhorePart2,Beaumont_and_Fletcher_Philaster,3,undirected
Dekker_TheHonestWhorePart2,Beaumont_TheKnightoftheBurningPestle,2,undirected
Dekker_TheHonestWhorePart2,Cavendish_TheBlazingWorld,1,undirected
Dekker_TheShoemakersHoliday,Beaumont_and_Fletcher_Philaster,3,undirected
Dekker_TheShoemakersHoliday,Beaumont_TheKnightoftheBurningPestle,2,undirected
Dekker_TheShoemakersHoliday,Cavendish_TheBlazingWorld,1,undirected
Dekker_TheWitchofEdmonton,Beaumont_and_Fletcher_Philaster,3,undirected
Dekker_TheWitchofEdmonton,Beaumont_TheKnightoftheBurningPestle,2,undirected
Dekker_TheWitchofEdmonton,Cavendish_TheBlazingWorld,1,undirected
Greene_ALookingGlass,Beaumont_and_Fletcher_Philaster,3,undirected
Greene_ALookingGlass,Beaumont_TheKnightoftheBurningPestle,2,undirected
Greene_ALookingGlass,Cavendish_TheBlazingWorld,1,undirected
Greene_AlphonsusKingofArragon,Beaumont_and_Fletcher_Philaster,3,undirected
Greene_AlphonsusKingofArragon,Beaumont_TheKnightoftheBurningPestle,2,undirected
Greene_AlphonsusKingofArragon,Cavendish_TheBlazingWorld,1,undirected
Greene_FriarBaconandFriarBungay,Beaumont_and_Fletcher_Philaster,3,undirected
Greene_FriarBaconandFriarBungay,Beaumont_TheKnightoftheBurningPestle,2,undirected
Greene_FriarBaconandFriarBungay,Cavendish_TheBlazingWorld,1,undirected
Greene_GeorgeAGreene,Beaumont_and_Fletcher_Philaster,3,undirected
Greene_GeorgeAGreene,Beaumont_TheKnightoftheBurningPestle,2,undirected
Greene_GeorgeAGreene,Cavendish_TheBlazingWorld,1,undirected
Greene_JamestheFourth,Beaumont_and_Fletcher_Philaster,3,undirected
Greene_JamestheFourth,Beaumont_TheKnightoftheBurningPestle,2,undirected
Greene_JamestheFourth,Cavendish_TheBlazingWorld,1,undirected
Greene_OrlandoFurioso,Beaumont_and_Fletcher_Philaster,3,undirected
Greene_OrlandoFurioso,Beaumont_TheKnightoftheBurningPestle,2,undirected
Greene_OrlandoFurioso,Cavendish_TheBlazingWorld,1,undirected
Heywood_AWomanKilledWithKindness,Beaumont_and_Fletcher_Philaster,3,undirected
Heywood_AWomanKilledWithKindness,Beaumont_TheKnightoftheBurningPestle,2,undirected
Heywood_AWomanKilledWithKindness,Cavendish_TheBlazingWorld,1,undirected
Heywood_TheEnglishTraveller,Beaumont_and_Fletcher_Philaster,3,undirected
Heywood_TheEnglishTraveller,Beaumont_TheKnightoftheBurningPestle,2,undirected
Heywood_TheEnglishTraveller,Cavendish_TheBlazingWorld,1,undirected
Heywood_TheFairMaidoftheWest,Beaumont_and_Fletcher_Philaster,3,undirected
Heywood_TheFairMaidoftheWest,Beaumont_TheKnightoftheBurningPestle,2,undirected
Heywood_TheFairMaidoftheWest,Cavendish_TheBlazingWorld,1,undirected
Jonson_BartholomewFair,Beaumont_and_Fletcher_Philaster,3,undirected
Jonson_BartholomewFair,Beaumont_TheKnightoftheBurningPestle,2,undirected
Jonson_BartholomewFair,Cavendish_TheBlazingWorld,1,undirected
Jonson_Epicoene,Beaumont_and_Fletcher_TheMaidsTragedy,1,undirected
Jonson_Epicoene,Jonson_TheAlchemist,4,undirected
