id,title,author,publisher,pubplace,keywords,date
A94050,"The Kings entertainment at Yorke as it was related by John Strickland, the 22. of March, 1641. who came out of Yorke, on Saturday last at nine of the clocke.","Strickland, John, 1600 or 1601-1670.; Strickland, John, 1600 or 1601-1670.",Printed for Nath Butter,London,"Charles --  I, --  King of England, 1600-1649 --  Early works to 1800. -- York (England) --  History --  Early works to 1800. -- Great Britain --  History --  Civil War, 1642-1649 --  Early works to 1800. -- Hull (England) --  History --  Early works to 1800.",1642
A91767,"A letter written by master Symon Rodes, minister in Yorke, to his brother in London, with the substance of Sir Tho: Widringtons (deputy recorders speech of Yorke) to His Majestie, at his entry into the citie.","Rhodes, Simon.; Rhodes, Simon.; Widdrington, Thomas, Sir, ca. 1660-1664.",Printed for Nath Butter,London,"Charles --  I, --  King of England, 1600-1649 --  Early works to 1800. -- York (England) --  History --  Early works to 1800.",1642
A93191,"A short and true relation, of all what hath hapned in Portugall unto the 23. March 1641 since the coronation of the illustrious King Iohn the fourth, Duke of Braganza, solemnized the 15. of December, 1641. Together with the the reason that hath mooved the Portugals to cast off the King of Spaine, and to free themselves by force of armes from his power.",Anonymous,printed for Na Butter,London,Portugal --  Foreign relations --  Spain --  Early works to 1800. -- Spain --  Foreign relations --  Portugal --  Early works to 1800. -- Broadsides,1642
A92352,"A relation of a terrible monster taken by a fisherman neere Wollage, July the 15. 1642. and is now to be seen in Kings street, Westminster. The shape whereof is like a toad, and may be called a toad-fish, but that which makes it a monster, is, that it hath hands with fingers like a man, and is chested like a man. Being neere five foot long, and three foot over, the thicknesse of an ordinary man. The following discourse will describe him more particularly. Whereunto is added, a relation of a bloudy encounter betwixt the Lord Faulconbridge and Sir John Hotham, wherein the Duke of Richmond is hurt, and the Lord Faulconbridge taken prisoner. With some other misselanies of memory both by sea and land, with some forreigne occurrences.",Anonymous,Printed for Nath Butter,London,"Fauconberg, Thomas Belasyse, --  Viscount, 1577-1652. -- Hotham, John, --  Sir, d. 1645 Jan. 2. -- Lennox, James Stuart, --  Duke of, 1612-1655. -- Monsters --  Early works to 1800. -- Hull (England) --  History, Military --  Early works to 1800. -- Great Britain --  History --  Civil War, 1642-1649 --  Campaigns --  Early works to 1800.",1642
A80351,"Bp Carletons testimonie concerning the Presbyterian discipline in the Low-Countries, and Episcopall government here in England. VVherein is briefly discovered the novelty of the one, and antiquity of the other; with a short taste of the inconveniences that attend the new plat-forme, where that is set up in the roome of the old primitive government. Published for the common good.","Carleton, George, 1559-1628.; Carleton, George, 1559-1628.",Printed for Nath Butter,London,Episcopacy --  History --  17th century --  Early works to 1800. -- Presbyterianism --  History --  17th century --  Early works to 1800. -- Protestantism --  History --  17th century --  Early works to 1800.,1642
A80052,"A speech, or complaint, lately made by the Spanish embassadour to his Majestie at Oxford, upon occasion of the taking of a ship called Sancta Clara in the port of Sancto Domingo, richly laden with plate, cocheneal and other commodities of great value, by one Captaine Bennet Strafford, and by him brought to Southampton. Being a matter of high concernment betwixt the two Kings of Spaine and England. Also a proclamation prohibiting the buying or disposing of any the lading of the ship called the Sancta Clara, lately brought into Southampton. / Translated out of Spanish, in Oxford, by Sr Torriano, an Italian.","Cardenas, Alonso de.; Cardenas, Alonso de.; Charles I, King of England, 1600-1649.; Torriano, Giovanni.; England and Wales. Sovereign (1625-1649 : Charles I).; Spain. Legación (England and Wales)",Printed for Nathaniel Butter,London,"Strafford, Bennet. -- Sancta Clara (Ship) -- Pirates --  England --  Early works to 1800. -- Great Britain --  History --  Charles I, 1625-1649 --  Early works to 1800.",1643
B14961,"The continuation of ovr weekely avisoes, since the 30. of the last moneth to this present Containing amongst the rest these particulars following. 1 The free exercise of the Protestant relgion in Ratisbone, or Reginspurgh. 2 Other letters written and sent by Henry Earle of Vandenberg; the one to the Infanta, manifesting his discontent, the other to the states, prelates, nobility, gentry, cities, and provinces of the Netherlands. 3 A letter from Norimberg concerning the King of Sweden his being at Furte with 20000. experienced souldiers, intending to meete with Walsteyn in Bohemia. 4 The passages of the Duke of Saxonie, and Walsteyn, or Freedland, before the King of Sweden came neere them. 5 The late accord betwixt the French King, and the D. of Lorraine. 6 Generall Pappenheym beaten by the Lands-graue of Hessen. 7 The great discontent amongst the subjects of the Arch-Dutches, vpon the revolt of the Lords.",Anonymous,Printed by I D awson for Nathaniel Butter and Nicholas Bourne,London,Europe --  History --  1517-1648 --  Early works to 1800.,1632
B14949,"July. 16. Numb. 9. The continuation of the most remarkable occurrences of newes, since the 4 of Iune, vntill this present. 1630 Containing, amongst diuers others, these particulars. The preparation and landing of the King of Sweden in Germany, with a mighty army, against the emperour: together with a list of his whole army, horse and foot. A late skirmish and ouerthrow giuen by the States forces, to Count Iohn of Nassaw, himselfe being taken prisoner, being sore hurt: together with diuers men of note neare Wesel. Newes of the arriuall of the two Spanish plate fleets at the Havanna, with the Gargazin of their lading and riches. The great ielousie of the emperour, of the Turkes comming into Hungary, with the great cruelty of the said Turkes, vsed against certaine merchants of Hungary. The arriuall of diuers Dutch ships; richly laden, both from East-Indies, and from Farnambuco together with many other particulars, both from Italy Sauoy, France, and the Low-Countries.","Butter, Nicholas, d. 1664, publisher.; Bourne, Nicholas, publisher.; Purslowe, George, d. 1632. printer.",printed by G Purslowe for Nicholas Bourne dwelling at the South entrance of the Royall Exchange,London,"Thirty Years' War, 1618-1648 --  Early works to 1800. -- Europe --  History --  17th century --  Newspapers --  Early works to 1800.",1630
B14615,"A true relation of the conferences and proceedings concerning the peace and mutuall agreements betweene the King of France, and Prince of Conde Published to the glorie of God, and the satisfaction of our common-wealth, this ninth of Iune. 1616.",Anonymous,Printed by Edvvard Griffin for Nathaniel Butter and are to bee solde at his shop in Pauls Church yard at the signe of the Pyde Bull neere St Austins gate,London,"Condé, Henri II de Bourbon, --  prince de --  Early works to 1800. -- France --  History --  Louis XIII, 1610-1643 --  Early works to 1800.",1616
B11899,"Diatelesma. The second part of the moderne history of the vvorld containing the last summers actions, in Languedock, Italy, Piemont, Montferrat, Lorrain, the Dukedome of Burgundy, the Franch country, and generally in France, Holland, the West-Indies, and marine occurrences; with some passages of Rome, and Turkey, brought downe to Novemb. 1637.",N. C.,Printed by T Harper and are to be sold by Nathanael Butter and Nicholas Bourne,London,"Thirty Years' War, 1616-1648 --  Early works to 1800.",1637
B16258,"Ward and Danseker tvvo notorious pyrates, Ward an Englishman, and Danseker a Dutchman. VVith a true relation of all or the mo[st] piraces by them committed vnto the first of Aprill. 1609.",Anonymous,By E Allde for N Butter and a re to be sold at his shop at the signe of the Pide Bull,Printed at London,"Ward, John, fl. 1603-1615. -- Danser, Simon de. -- Pirates --  Early works to 1800.",1609
