id,title,author,publisher,pubplace,keywords,date
B07563,1603. The vvonderfull yeare. Wherein is shewed the picture of London lying sicke of the Plague. ...,"Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.; N. L. (Nicholas Ling), fl. 1580-1607, printer.; Creede, Thomas, d. 1619?, printer.",Printed by Thomas Creede and are to be solde in Saint Donstones Church yarde in Fleet streete,London,"Elizabeth --  I, --  Queen of England, 1533-1603 --  Death and burial --  Early works to 1800. -- Plague --  England --  London --  Early works to 1800.",1603
B01146,"Londons tempe, or, The feild of happines. In which feild are planted seuerall trees of magnificence, state and bewty, to celebrate the solemnity of the right honorable Iames Campebell, at his inauguration in to the honorable office of prætorship, or maioralty of London, on Thursday the the 29 of October, 1629. All the particular inuentions, for the pageants, showes of triumph, both by water and land being here fully set downe, at the sole cost, and liberall charges of the right worshipfull Society of Ironmongers. / Written by Thomas Dekker.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.; Worshipful Company of Ironmongers (London, England).",Nicholas Okes,London,"Cambell, James, 1570-1642. -- Pageants --  England --  London --  17th century. -- London (England) --  History --  17th century.",1629
A64976,"The young gallant's academy, or, Directions how he should behave himself in all places and company as in an ordinary, in a play-house, in a tavern, as he passes along the street all hours of the night, and how to avoid constables interrogatories : to which is added, the character of a town-huff : together with the character of a right generous and well-bred gentleman / by Sam. Overcome.","Vincent, Samuel.; Vincent, Samuel.; Dekker, Thomas, ca. 1572-1632.",Printed by J C for R Mills,London,"English literature --  Great Britain --  Anecdotes -- English literature --  Great Britain --  Early modern, 1500-1700.",1674
A57764,"The witch of Edmonton a known true story / composed into a tragi-comedy by divers well-esteemed poets, William Rowley, Thomas Dekker, John Ford, &c.","Rowley, William, 1585?-1642?; Rowley, William, 1585?-1642?; Dekker, Thomas, ca. 1572-1632.; Ford, John, 1586-ca. 1640.",Printed by J Cottrel for Edward Blackmore,London,No Keywords,1658
A07249,"The virgin martir a tragedie. As it hath bin diuers times publickely acted with great applause, by the seruants of his Maiesties Reuels. Written by Phillip Messenger and Thomas Deker.","Massinger, Philip, 1583-1640.; Dekker, Thomas, ca. 1572-1632. aut",Printed by B ernard A lsop for Thomas Iones,London,No Keywords,1622
A02053,Nevves from Graues-end sent to nobody.,"Dekker, Thomas, ca. 1572-1632.",Printed by T homas C reede for Thomas Archer and are to be solde at the long Shop vnder S Mildreds Church in the Poultry,London,Plague --  England --  Poetry --  Early works to 1800. -- Plague --  England --  Early works to 1800.,1604
A07524,The roaring girle. Or Moll Cut-Purse As it hath lately beene acted on the Fortune-stage by the Prince his Players. Written by T. Middleton and T. Dekkar.,"Middleton, Thomas, d. 1627.; Dekker, Thomas, ca. 1572-1632. aut",By Nicholas Okes for Thomas Archer and are to be sold at his shop in Popes head pallace neere the Royall Exchange,Printed at London,"Cutpurse, Moll, 1584?-1659 --  Drama --  Early works to 1800. -- Brigands and robbers --  Drama --  Early works to 1800.",1611
A07398,The meeting of gallants at an ordinarie: or The walkes in Powles,"Middleton, Thomas, d. 1627, attributed name.; Dekker, Thomas, ca. 1572-1632, attributed name.",Printed by T C reede and are to be solde by Mathew Lawe dwelling in Paules Church yard,London,Plague --  England --  London --  Early works to 1800.,1604
A08755,"Looke vp and see vvonders A miraculous apparition in the ayre, lately seene in Barke-shire at Bawlkin Greene neere Hatford. April. 9th. 1628.","Dekker, Thomas, ca. 1572-1632.",By N Okes for Roger Michell,Imprinted at London,Storms --  England --  Berkshire --  Early works to 1800. -- Meteorites --  England --  Berkshire --  Early works to 1800. -- Berkshire --  England --  History.,1628
A06271,"London looke backe at that yeare of yeares 1625 and looke forvvard, vpon this yeare 1630 / written not to terrifie, but to comfort.","Dekker, Thomas, ca. 1572-1632.",Printed by A M and are to bee sold by Ed Blackmoore at the Angell in Paules Church yard,London,"Great Britain --  History --  Charles I, 1625-1649. -- London (England) --  History --  17th century.",1630
A07492,Blurt master-constable. Or The Spaniards night-walke As it hath bin sundry times priuately acted by the Children of Paules.,"Dekker, Thomas, ca. 1572-1632.; Middleton, Thomas, d. 1627, attributed name.",Printed by Edward Allde for Henry Rockytt and are to be solde at the long shop vnder S Mildreds Church in the Poultry,London,No Keywords,1602
A02732,"The arch's of triumph erected in honor of the high and mighty prince. Iames. the first of that name. King, of England. and the sixt of Scotland at his Maiesties entrance and passage through his honorable citty & chamber of London. vpon the 15th. day of march 1603. Invented and published by Stephen Harrison ioyner and architect: and graven by William Kip.","Harrison, Stephen, joiner and architect.; Kip, William, engraver.; Dekker, Thomas, ca. 1572-1632. Magnificent entertainment.; Jonson, Ben, 1573?-1637. B. Jon: his part of King James his royall and magnificent entertainement through his honorable cittie of London, Thurseday the 15. of March. 1603. Selections.",By Iohn VVindet printer to the honourable citie of London and are to be sold at the authors house in Lime street at the signe of the Snayle,Imprinted at London,"James --  I, --  King of England, 1566-1625. -- Triumphal arches --  England --  London --  Early works to 1800.",1604
A02255,"Greuous grones for the poore Done by a well-willer, who wisheth, that the poore of England might be so prouided for, as none should neede to go a begging within this realme.","Sparke, Michael, d. 1653, attributed name.; Dekker, Thomas, ca. 1572-1632, attributed name.",Printed by William Jaggard for Michaell Sparke,London,Poor --  England --  Early works to 1800.,1621
A19754,"Canaans calamitie Ierusalems misery, or The dolefull destruction of faire Ierusalem by Tytus, the sonne of Vaspasian Emperour of Rome, in the yeare of Christs incarnation 74 Wherein is shewed the woonderfull miseries which God brought vpon that citty for sinne, being vtterly ouer-throwne and destroyed by sword, pestilence and famine.","T. D.; T. D.; Deloney, Thomas, 1543?-1600, attributed name.; Dekker, Thomas, ca. 1572-1632, attributed name.",Printed by W Jones for Thomas Bayly and are to be sould at the corner shop in the middle rowe iu sic Holborne neere adioyning vnto Staple Inne,At London,"Jerusalem --  Siege, 70 A.D. --  Poetry.",1618
A11145,"The noble souldier. Or, A contract broken, justly reveng'd A tragedy. Written by S.R.","Rowley, Samuel, d. 1633?; Rowley, Samuel, d. 1633?; Dekker, Thomas, ca. 1572-1632, attributed name.; Day, John, 1574-1640?",Printed by John Beale for Nicholas Vavasour and are to be sold at his shop in the Temple neere the Church,London,No Keywords,1634
A15830,"The cold yeare. 1614 A deepe snovv: in vvhich men and cattell haue perished, to the generall losse of farmers, grasiers, husbandmen, and all sorts of people in the countrie; and no lesse hurtfull to citizens. Written dialogue-wise, in a plaine familiar talke betweene a London shop-keeper, and a North-Country-man. In which, the reader shall finde many thinges for his profit.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",By W W hite for Thomas Langley in Iuie lane where they are to be sold,Imprinted at London,"Great Britain --  History --  James I, 1603-1625 --  Early works to 1800.",1615
A19755,The bloodie banquet A tragedie. By T.D.,"T. D.; T. D.; Drue, Thomas, fl. 1616-1653, attributed name.; Barker, Thomas, fl. 1620, attributed name.; Davenport, Robert, fl. 1623, attributed name.; Dekker, Thomas, ca. 1572-1632, attributed name.; Middleton, Thomas, d. 1627, attributed name.",Printed by Thomas Cotes,London,No Keywords,1639
A39898,"The sun's-darling a moral masque : as it hath been often presented at Whitehall by Their Majesties servants, and after at the Cock-pit in Drury Lane, with great applause / written by John Foard and Tho. Decker, Gent.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.; Ford, John, 1586-ca. 1640.",Printed by J Bell for Andrew Penneycuicke,London,No Keywords,1656
A20093,The wonder of a kingdome. Written by Thomas Dekker,"Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by Robert Raworth for Nicholas Vavasour and are to bee sold at his shop in the Inner Temple neere the church doore,London,No Keywords,1636
A20081,"Satiro--mastix. Or The vntrussing of the humorous poet As it hath bin presented publikely, by the Right Honorable, the Lord Chamberlaine his seruants; and priuately, by the Children of Paules. By Thomas Dekker.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by Edward Allde for Edward VVhite and are to bee solde at his shop neere the little north doore of Paules Church at the signe of the Gun,London,"Jonson, Ben, 1573?-1637 --  Drama.",1602
A20056,The double PP. A papist im armes. Bearing ten seuerall sheilds. Encountred by the protestant. at ten seuerall weapons. A Iesuite marching before them.,"Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Imprinted by T homas C reede and are to be sold by Iohn Hodgets at his shop in Paules Church yard,London,Catholic Church --  Controversial literature.,1606
A20072,Nevves from hell brought by the Diuells carrier. Tho: Dekker.,"Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by R B lower S Stafford and Valentine Simmes for VV Ferebrand and are to be sold at his shop in Popes head Alley neere vnto the Royall Exchaunge,London,England --  Social life and customs.,1606
A20060,The guls horne-booke: By T. Deckar,"Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.; Dedekind, Friedrich, d. 1598. Grobianus.",By Nicholas Okes for R S ergier,Imprinted at London,London (England) --  Social life and customs.,1609
A20046,"Lanthorne and candle-light. Or, The bell-mans second nights-walke In which he brings to light, a brood of more strange villanies than ener [sic] were till this yeare discouered.","Dekker, Thomas, ca. 1572-1632.; Dekker, Thomas, ca. 1572-1632.",Printed by Edward Allde for Iohn Busby and are to be solde at his shop in Fleete streete in Saint Dunstanes Church yard,London,Crime --  England --  London --  Early works to 1800. -- Criminals --  England --  London --  Early works to 1800. -- Cant --  Early works to 1800.,1609
