id,title,author,publisher,pubplace,keywords,date
A90053,Being commanded by his Excellency the Ld Marquis of New-Castle to publish the following articles for his new course ...,"Rolleston, John.; Newcastle, William Cavendish, Duke of, 1592-1676.",s n,Oxford,"Newcastle, William Cavendish, --  Duke of, 1592-1676. -- Horse racing --  England --  Early works to 1800. -- Broadsides --  London (England) --  17th century.",1662
A90057,"A declaration of the Right Honourable the Earle of Newcastle His Excellency, &c in answer of six groundlesse aspersions cast upon him by the Lord Fairefax, in his late warrant bearing date Feb. 1642.","Fairfax, Ferdinando Fairfax, Baron, 1584-1648.; Newcastle, William Cavendish, Duke of, 1592-1676.",by Stephen Bulkley,Printed at York,"Fairfax, Ferdinando Fairfax, --  Baron, 1584-1648 --  Controversial literature --  Early works to 1800. -- Great Britain --  History --  Civil War, 1642-1649 --  Early works to 1800.",1643
A93180,"The triumph of beautie· As it was personated by some young gentlemen, for whom it was intended, at a private recreation. / By James Shirley.","Shirley, James, 1596-1666.",Printed for Humphrey Moseley and are to be sold at his shop at the signe of the Princes Armes in St Pauls Churchyard,London,No Keywords,1646
A93175,"Poems, &c. By James Shirley.","Shirley, James, 1596-1666.",Printed by Ruth Raworth and Susan Islip for Humphrey Moseley and are to be sold at his shop at the signe of the Princes Armes in St Pauls Church yard,London,No Keywords,1646
A96148,"A cure for a cuckold A pleasant comedy, as it hath been several times acted with great applause. Written by John VVebster and VVilliam Rowley. Placere cupio.","Rowley, William, 1585?-1642? aut; Webster, John, 1580?-1625?",printed by Tho Johnson and are to be sold by Francis Kirkman at his shop at the sign of John Fletchers Head over against the Angel Inne on the back side of St Clements without Temple Bar,London,No Keywords,1661
A84357,"Tears of repentance: or, A further narrative of the progress of the Gospel amongst the Indians in New-England: setting forth, not only their present state and condition, but sundry confessions of sin by diverse of the said Indians, wrought upon by the saving power of the Gospel; together with the manifestation of their faith and hope in Jesus Christ, and the work of grace upon their hearts. Related by Mr. Eliot and Mr. Mayhew, two faithful laborers in that work of the Lord. Published by the corporation for propagating the Gospel there, for the satisfaction and comfort of such as wish well thereunto.","Eliot, John, 1604-1690.; Mayhew, Thomas.; Mather, Richard, 1596-1669.",Printed by Peter Cole in Leaden Hall and are to sold sic at his shop at the sign of the Printing Press in Cornhil near the Royal Exchange,London,"Indians of North America --  Massachusetts --  Early works to 1800. -- Missions --  America --  Early works to 1800. -- Massachusetts --  History --  Colonial period, CA. 1600-1775 --  Early works to 1800.",1653
B29760,"The vanity of vain glory. With good advice to those who chuse immediate pleasures here, that they no longer can refuse, the thing which cost so dear. Tuue [sic], The gloryes of our birth and state.","Shirley, James, 1596-1666.",Printed for F Cole T Vere J Wright J Clark W Thackery and T Passenger,London,"Pride and vanity --  Poetry --  Early works to 1800. -- Ballads, English --  17th century. -- Broadsides --  England --  17th century.",1678-1681?
B12027,"The tragedie of Chabot admirall of France as it vvas presented by her Majesties Servants, at the private house in Drury Lane. Written by George Chapman, and Iames Shirly.","Shirley, James, 1596-1666. aut; Chapman, George, 1559?-1634.",Printed by Tho Cotes for Andrew Crooke and William Cooke,London,"Chabot, Philippe, 1480-1543 --  Drama --  Early works to 1800.",1639
B14292,Ben: Ionson his Volpone or The foxe.,"Jonson, Ben, 1573?-1637.",Printed by George Eld for Thomas Thorppe,London,No Keywords,1607
B14778,Father Hubburds tales: or the ant and the nightingale,"Middleton, Thomas, d. 1627.",Printed by T C reede for William Cotton and are to be solde at his shop neare adioyning to Ludgate,London,No Keywords,1604
