Standard,1,2,3,4,5,6
A Hatfield ,A H,,,,,
A Miller,A M,,,,,
A Moore,,,,,,
Adam Islip,,,,,,
AN,,,,,,
Andrew Clark,Andr Clark,,,,,
Anne Griffin,,,,,,
Anne Maxwell,A Maxwell,,,,,
Bernard Alsop,B Alsop,B A,,,,
E Cotes,E C,,,,,
E Edgar ,,,,,,
E Flesher,,,,,,
Edward Allde ,E A,Edwared Allde,E Allde,Ed All-de,Esic A llde,
Edward Griffin,E G,E Griffin,Edw Griffin,E dward G riffin,,
Eliot's Court Press ,Eliot s Court Press,,,,,
Elizabeth Allde ,Elizabeth All-de,E A,E Allde,,,
Elizabeth Purslowe,,,,,,
EP,,,,,,
Evan Tyler,,,,,,
Felix Kingston,F K,F Kingston,F Kyngston,Felix Kyngston,,
G Larkin,,,,,,
George Eld,G Eld,G Elld,,,,
George Miller,G Miller,G M,,,,
George Purslowe,G Purslowe,,,,,
Henry Ballard,H B,H Ballard,,,,
HN,,,,,,
Humphrey Lownes,H L,Humfrey Lownes,H Lownes,,,
Ian Masse,,,,,,
I B,,,,,,
Isaac Iggard,,,,,,
J Bell,,,,,,
J Cottrel,,,,,,
James Dawson,I Dawson,,,,,
James Flesher,,,,,,
James Roberts,I Roberts,J Roberts,I R,Iames Roberts,,
J G,,,,,,
J L,,,,,,
John Beale,Iohn Beale,J Beale,Io Beale,I Beale,,
John Bill,,,,,,
John Cadwel,J C,,,,,
John Harison,Iohn Harison,,,,,
John Haviland,Iohn Haviland,I Haviland ,J Haviland,Iohn Hauiland,John Hauiland,
John Legat,Iohn Legat,,,,,
John Norton,J Norton,I N,Iohn Norton,,,
John Okes,Iohn Okes,JO,I Okes,J Okes,,
John Pindley,Iohn Pindley,,,,,
John Windet,Iohn VVindet,Ion Vvindet,I Windet,John Windlet,Iohn Windet,
J T,,,,,,
M Simmons,,,,,,
Marmaduke Parsons,M Parsons,MP,,,,
Melchisedech Bradwood,Melch Bradwood,M Bradwood,,,,
Miles Flesher,M Flesher,MF,,,,
Augustine Matthews,Aug Matthewes ,Augustine Matthewes,A Mathewes,A M,Aug Mathevve,Augustine Mathewes
Nicholas Okes,Nickolas Okes,Nicholas Oakes,Nickolas Oakes,N Okes,N O,
P Short,,,,,,
R Blower,,,,,,
R Ibbitson,,,,,,
R Read,,,,,,
R C,,,,,,
Richard Badger,R Badger,,,,,
Richard Bishop,,,,,,
Richard Bradock,R Bradock,,,,,
Richard Field,R F,R Field,,,,
Richard Hodgkinson,,,,,,
R L,,,,,,
Robert Raworth,R R,,,,,
Robert Roberts,R Roberts,,,,,
Robert Robinson,,,,,,
Robert Young,R Young,,,,,
S G,,,,,,
Simon Stafford,S S,S Stafford,,,,
T East,,,,,,
Thomas Badger,Tho Badger,,,,,
Thomas Cotes,Tho Cotes,T C,T Cotes,,,
Thomas Creede,T C,Thomes Creede,T Creede,Thomas Creed,,
Thomas Fawcet,T Fawcet,,,,,
Thomas Finlason,,,,,,
Thomas Harper,T H,Tho Harper,,,,
Thomas James,Tho James,,,,,
Thomas Johnson,,,,,,
Thomas Jones,Thomas Iones,,,,,
Thomas Purfoot,T P,,,,,
Thomas Snodham,T S,T Snodham,,,,
TW,,,,,,
Valentine Simmes,Valentine Sims,Valentine Syms,V S,V Simmes,,
W Hall,W H,,,,,
W White,W W,,,,,
William Caldeman,,,,,,
William Gilbertson,,,,,,
William Jaggard,W Jaggard,William Iaggard,,,,
William Jones,VVilliam Iones,VV I,William Iones,W Iones,,
William Sheares,,,,,,
William Stansby,W Stansby,Will Stansby,W S,,,
