Standard,1,2,3,4,5,6,7,8,9,10
A Moore,,,,,,,,,,
Andrew Crooke,Andrevv Crooke,Andrew Crook,A Crooke,A Crook,A C,,,,,
Arthur Johnson,A Johnson,,,,,,,,,
Bartholomew Sutton,,,,,,,,,,
Bernard Alsop,,,,,,,,,,
Cuthbert Burby ,C Burby,Cutbert Burbie,Cuthbert Burbie,,,,,,,
Edmond Matts,,,,,,,,,,
Edmond Weaver,Edmond Weaver,,,,,,,,,
Edward Blunt,Edward Blount,Ed Blount,,,,,,,,
Edward Brewster,,,,,,,,,,
Edward Langham,Edvvward Langham,,,,,,,,,
Edward Marchant,E Marchant,,,,,,,,,
Edward White,Edward VVhite,Edwarde White,Edwarde VVhite,,,,,,,
Eleazar Edgar,E Edgar,,,,,,,,,
Fran Grove,,,,,,,,,,
Francis Coles,F Coles,F Cole,Francis Coules,,,,,,,
Francis Constable,,,,,,,,,,
Francis Eaglesfield ,Fr Eglesfield,,,,,,,,,
Francis Kirkman,F Kirkman,,,,,,,,,
Francis Tyton,,,,,,,,,,
Fulke Clifton,F Clifton,Foulke Clifton,Fulke Clyfton,,,,,,,
Gabriel Beadle,,,,,,,,,,
George Edwards,,,,,,,,,,
George Fayerbeard,G Fayer beard,G Fayerbeard,,,,,,,,
George Lathum Junior,George Latham Junior,,,,,,,,,
George Norton,,,,,,,,,,
George Winder,,,,,,,,,,
Godrey Edmonson,,,,,,,,,,
H B,,,,,,,,,,
H Gosson,,,,,,,,,,
H Walley,H VVally,H Wally,,,,,,,,
Hanna Barret,,,,,,,,,,
Hen Taunton,,,,,,,,,,
Henry Brome,,,,,,,,,,
Henry Fetherstone,H Fether stone,,,,,,,,,
Hugh Perry,Hugh Perrie,,,,,,,,,
Humphrey Moseley,Humpherey Moseley,,,,,,,,,
I Spencer,,,,,,,,,,
J B ,,,,,,,,,,
J Crooke,,,,,,,,,,
Jacob Tonson,,,,,,,,,,
James Boler,Iames Boler,,,,,,,,,
Jeffrey Chorlton,Ieffrey Chorlton,,,,,,,,,
John Alen,,,,,,,,,,
John Baily,Iohn Baily,,,,,,,,,
John Bartlett,Iohn Bartlett,,,,,,,,,
John Benson,,,,,,,,,,
John Bisse,,,,,,,,,,
John Blague ,,,,,,,,,,
John Brown,Iohn Brovvne,Iohn Browne,,,,,,,,
John Budge,Iohn Budge,,,,,,,,,
John Buzbie,Iohn Buzbie,,,,,,,,,
John Deane,Iohn Deane,,,,,,,,,
John Flasket,,,,,,,,,,
John Haviland,,,,,,,,,,
John Helme,John Helmes,Iohn Helme,Iohn Helmes,,,,,,,
John Hodgets,Iohn Hodgets,,,,,,,,,
John Holden,,,,,,,,,,
John Place,,,,,,,,,,
John Porter,Iohn Porter ,,,,,,,,,
John Stafford,Iohn Stafford,,,,,,,,,
John Stepneth,Iohn Stepneth,,,,,,,,,
John Sweeting,,,,,,,,,,
John Trundle,Iohn Trundle,I T,,,,,,,,
Joshua Kirton,Ioshua Kirton,,,,,,,,,
Laurence L'Isle,,,,,,,,,,
Leonard Becket,Lenard Becket,,,,,,,,,
Leonard Greene,,,,,,,,,,
Mathew Cooke,,,,,,,,,,
Mathew Lawe,,,,,,,,,,
Mathew Lownes,M Lownes,Mathewe Lownes,,,,,,,,
Matthew Selman,,,,,,,,,,
Michael Sparke ,Michaell Sparke,,,,,,,,,
Miles Flesher,,,,,,,,,,
Miles Partrich,,,,,,,,,,
Nathaniel Brooke,Nath Brooke,,,,,,,,,
Nathaniel Butter,Nathaniell Butter,Nat Butter,Nath Butter,Nathnaiell sic Butter,N Butter,N athaniel Butter,Nathanael Butter,Na Butter,Nathanaell Butter,
Nathaniel Fosbrooke ,Nathanaell Fosbrooke,,,,,,,,,
Nathaniel Webb,Nath Webb,Nathaniel Webbe,,,,,,,,
Nicholas Bourne,N Bourne,Nicolas Bourne,,,,,,,,
Nicholas Linge,,,,,,,,,,
Nicholas Vavasour,,,,,,,,,,
Obadiah Blagrave,,,,,,,,,,
Paul Linley,,,,,,,,,,
Peter Cole,,,,,,,,,,
Philemon Stephens ,,,,,,,,,,
Philip Knight,,,,,,,,,,
R Horseman,,,,,,,,,,
R Royston,,,,,,,,,,
Ralph Mab,,,,,,,,,,
Ralph Smith,,,,,,,,,,
Rapha Harford,R Harford,,,,,,,,,
Richard Bonian,R Bonian,R Bonlan,,,,,,,,
Richard Bradock,,,,,,,,,,
Richard Hawkings,,,,,,,,,,
Richard Hawkins,,,,,,,,,,
Richard Meighen,Rich Meighen,R Meighen,,,,,,,,
