id,title,author,publisher,pubplace,keywords,date
A96422,"Strength out of weakness. Or A glorious manifestation of the further progresse of the gospel amongst the Indians in New-England. Held forth in sundry letters from divers ministers and others to the corporation established by Parliament for promoting the gospel among the heathen in New-England; and to particular members thereof since the last treatise to that effect, / formerly set forth by Mr Henry Whitfield late pastor of Gilford in New-England. ; Published by the aforesaid corporation.","Whitfield, Henry, 1597-1660?; Endecott, John, 1588?-1665.; Bessey, Anthony, 1609?-1657?; Allen, Thomas, 1608-1673.; Mayhew, Thomas, 1621-1657.; Gouge, William, 1578-1653.; Eliot, John, 1604-1690.; French, William, 1603?-1681.; Leverich, William, d. 1677.; Wilson, John, 1588-1667.; Society for Propagation of the Gospel in New England.",Printed by M Simmons for John Blague and Samuel Howes and are to be sold at their shop in Popes Head Alley,London,"Indians of North America --  Missions --  Early works to 1800. -- Missions, British --  New England --  Early works to 1800. -- Massachuset Indians --  Missions. -- Wampanoag Indians --  Missions. -- Indians of North America --  Massachusetts.",1652
A94433,"To men, fathers and brethren; Henry Holland (son of the learned and laborious scholler Dr. Philemon Holland;) a citizen of London: ...","Gouge, William, 1578-1653.",s n,London,"Holland, Henry, 1583-1650? --  Early works to 1800. -- Aged --  Care --  Early works to 1800.",1642
A85825,"Antinomianism discovered and confuted: and free-grace as it is held forth in Gods word: as well by the prophets in the Old Testament, as by the apostles and Christ himself in the New, shewed to be other then is by the Antinomian-party in these times maintained. / By Thomas Gataker, B.D. and pastor of Rotherhith.","Gataker, Thomas, 1574-1654.",Printed by T R and E M and are to be sold by J B at the Guilded Acorn in Pauls Church yard near the little North door,London,Antinomianism --  Controversial literature --  Early works to 1800.,1652
A86877,"An apologeticall letter to a person of quality, concerning a scandalous and malicious passage, in a conference lately held betwixt an inquisitor at White-Hall and Mr Anthony Sadler, published in his Inquisitio Anglicana. / Written by Jo. Hall Bishop of Norwich, in vindication of himself.","H. S.; Hall, Joseph, 1574-1656.",Printed for N B and are to be sold at the Marigold in S Pauls Churchyard,London,"Sadler, Anthony, b. 1610. --  Inquisitio Anglicana. -- Hall, Joseph, 1574-1656. -- Libel and slander --  Early works to 1800.",1654
A85485,"The progresse of divine providence, set out in a sermon preached in the Abbey Church of Westminster before the house of Peers, on the 24th of September, 1645. being the day of their monethly fast. / By William Gouge, one of the members of the Assembly.","Gouge, William, 1578-1653.",Printed by G M for Ioshua Kirton next Goldsmiths hall in Foster lane,London,"Bible. --  O.T. --  Ezekiel XXXVI, 11 --  Sermons. -- Sermons, English --  17th century. -- Fast-day sermons --  17th century.",1645
A85827,"A discours apologetical; wherein Lilies lewd and lowd lies in his Merlin or Pasqil for the yeer 1654. are cleerly laid open; his shameful desertion of his own cause is further discovered; his shameless slanders fullie refuted; and his malicious and murtherous mind, inciting to a general massacre of Gods ministers, from his own pen, evidentlie evinced. Together with an advertisement concerning two allegations produced in the close of his postscript. And a postscript concerning an epistle dedicatorie of one J. Gadburie. By Tho. Gataker B.D. autor [sic] of the annotations on Jer. 10.2 and of the vindication of them.","Gataker, Thomas, 1574-1654.",Printed by R Ibbitson for Thomas Newberry at the three Lions in Cornhil neer the Royal Exchange,London,"Lilly, William, 1602-1681. --  Merlini Anglici ephemeris. -- Gadbury, John, 1627-1704 --  Early works to 1800. -- Gataker, Thomas, 1574-1654 --  Early works to 1800. -- Carpenter, Richard, d. 1670? --  Early works to 1800.",1654
A85482,"Briefe ansvvers to the chiefe articles of religion. By W. Gouge, D.D.","Gouge, William, 1578-1653.",Printed by G M for Edward Brewster and are to be sold at his shop upon Fleet bridge at the signe of the Bible,London,"Christianity --  Essence, genius, nature --  Early works to 1800. -- Catechisms, English --  17th century.",1642
B33867,"Fanatick moderation, exemplified in Bishop Hall's Hard measure, as it was written by himself. To which is annex'd, a specimen of the unparralell'd behaviour of the sectaries, towards some others of that sacred order. As likewise, a general bill of mortality of the clergy of the City of London, who were defunct, by reason of the contagious breath of the pretended reformers of that city, from the year 1641, to the year 1647.","Hall, Joseph, 1574-1656.",Printed and sold by A Moore near St Paul s Church Yard,London,Clergy --  England --  Early works to 1800. -- Mortality --  England --  London --  Early works to 1800. -- Persecution --  Early works to 1800.,1680-1689?
B13871,A plaine and familiar explication (by way of paraphrase) of all the hard texts of the whole divine Scripture of the Old and Nevv Testament. By Ios. Exon,"Hall, Joseph, 1574-1656.",Printed by Miles Flesher for Nath Butter at the signe of the Pyde Bull at S Austins Gate,London,"Bible --  Paraphrases, English --  Early works to 1800.",1633
B13857,Contemplations vpon the historie of the old Testament. The seuenth volume. In two bookes. By Ios. Hall D.D.,"Hall, Joseph, 1574-1656.",Printed by I Haviland for Nath Butter,London,Bible. --  O.T --  Meditations --  Early works to 1800.,1623
B13868,"Meditations and vowes, diuine and morall: a third century. By Ioseph Hall.","Hall, Joseph, 1574-1656.",Imprinted by Humfrey Lownes for Iohn Porter,At London,Conduct of life --  Early works to 1900. -- Meditations --  Early works to 1800.,1606
B13878,"A sermon preached before his majestie at his court of Thebalds, on Sunday, Sept. 15. 1622 In the ordinary course of attendance. By Ios. Hall D.D.","Hall, Joseph, 1574-1656.",Printed by I Haviland for N Butter,London,"Sermons, English --  17th century.",1622
B13862,"Epistles, the second volume: conteining two decads. By Ioseph Hall","Hall, Joseph, 1574-1656.",Printed by A H atfield for Eleazar Edgar Samuel Macham are to be sold at their shops in Pauls church yard,London,No Keywords,1608
B13858,"Episcopacie by divine right. Asserted, by Jos. Hall, B. of Exon","Hall, Joseph, 1574-1656.",Printed by R ichard B adger for Nathanael Butter at the Pide Bull by S Augustine s Gate,London,Episcopacy --  Early works to 1800.,1640
B13860,"Epistles, the first volume: conteining two decads. / By Ioseph Hall.","Hall, Joseph, 1574-1656.",Printed by A H for S Macham E Edgar,London,Church of England.,1608
B11418,"The complaint or dialogue, betvvixt the soule and the bodie of a damned man Each laying the fault vpon the other. Supposed to be written by S. Bernard from a nightly vision of his, and now published out of an ancient manuscript copie. By William Crashaw.","Crashaw, William, 1572-1626. Manuale Catholicorum. aut; Bernard, of Clairvaux, Saint, 1090 or 91-1153, attributed name.; Fulbert, Saint, Bishop of Chartres, ca. 960-1028, attributed name.; Crashaw, William, 1572-1626.",Printed by G eorge E ld for Leonard Becket and are to be sold at his shop in the Temple neere the Church,London,Body and soul in literature --  Early works to 1800. -- Meditations --  Early works to 1800.,1622
B09696,"A peace-making iurie, or, Twelve moderate propositions, tending to the reconciling of the present differences about church-combinations betweixt the Presbyterian and independent / by Philalethirenaus Junior, anno 1650.","Hall, Joseph, 1574-1656.",Printed by W H for Richard Tomlins at the Sun and Bible near Pye Corner,London,Presbyterianism --  Early works to 1800. -- Church history --  England --  17th century.,1650
